Timestamp;Measured energy production (MWh);Installed power (MW)
2020-09-01 00;0.42;1418.38
2020-09-01 01;0.46;1418.38
2020-09-01 02;0.36;1418.38
2020-09-01 03;0.46;1418.38
2020-09-01 04;0.46;1418.38
2020-09-01 05;0.43;1418.38
2020-09-01 06;11.83;1418.38
2020-09-01 07;81.16;1418.38
2020-09-01 08;354.47;1418.38
2020-09-01 09;723.99;1418.38
2020-09-01 10;781.08;1418.38
2020-09-01 11;941.25;1418.38
2020-09-01 12;919.89;1418.38
2020-09-01 13;881.85;1418.38
2020-09-01 14;853.41;1418.38
2020-09-01 15;804.66;1418.38
2020-09-01 16;683.17;1418.38
2020-09-01 17;483.50;1418.38
2020-09-01 18;114.94;1418.38
2020-09-01 19;1.67;1418.38
2020-09-01 20;0.23;1418.38
2020-09-01 21;0.33;1418.38
2020-09-01 22;0.22;1418.38
2020-09-01 23;0.35;1418.38
2020-09-02 00;0.34;1418.38
2020-09-02 01;0.37;1418.38
2020-09-02 02;0.37;1418.38
2020-09-02 03;0.47;1418.38
2020-09-02 04;0.31;1418.38
2020-09-02 05;0.27;1418.38
2020-09-02 06;44.70;1418.38
2020-09-02 07;403.26;1418.38
2020-09-02 08;760.66;1418.38
2020-09-02 09;936.87;1418.38
2020-09-02 10;1036.08;1418.38
2020-09-02 11;973.44;1418.38
2020-09-02 12;937.63;1418.38
2020-09-02 13;998.43;1418.38
2020-09-02 14;1029.69;1418.38
2020-09-02 15;955.71;1418.38
2020-09-02 16;800.32;1418.38
2020-09-02 17;504.77;1418.38
2020-09-02 18;108.98;1418.38
2020-09-02 19;1.57;1418.38
2020-09-02 20;0.81;1418.38
2020-09-02 21;0.87;1418.38
2020-09-02 22;0.89;1418.38
2020-09-02 23;1.01;1418.38
2020-09-03 00;1.05;1418.38
2020-09-03 01;0.96;1418.38
2020-09-03 02;0.98;1418.38
2020-09-03 03;0.96;1418.38
2020-09-03 04;1.04;1418.38
2020-09-03 05;1.05;1418.38
2020-09-03 06;40.27;1418.38
2020-09-03 07;374.60;1418.38
2020-09-03 08;737.18;1418.38
2020-09-03 09;926.72;1418.38
2020-09-03 10;1024.60;1418.38
2020-09-03 11;1069.95;1418.38
2020-09-03 12;1079.23;1418.38
2020-09-03 13;1066.48;1418.38
2020-09-03 14;1026.20;1418.38
2020-09-03 15;939.17;1418.38
2020-09-03 16;785.49;1418.38
2020-09-03 17;489.96;1418.38
2020-09-03 18;101.86;1418.38
2020-09-03 19;2.16;1418.38
2020-09-03 20;0.47;1418.38
2020-09-03 21;0.41;1418.38
2020-09-03 22;0.17;1418.38
2020-09-03 23;0.41;1418.38
2020-09-04 00;0.17;1418.38
2020-09-04 01;0.22;1418.38
2020-09-04 02;0.15;1418.38
2020-09-04 03;0.20;1418.38
2020-09-04 04;0.42;1418.38
2020-09-04 05;0.47;1418.38
2020-09-04 06;39.01;1418.38
2020-09-04 07;383.56;1418.38
2020-09-04 08;736.69;1418.38
2020-09-04 09;912.73;1418.38
2020-09-04 10;1014.12;1418.38
2020-09-04 11;1064.30;1418.38
2020-09-04 12;1085.78;1418.38
2020-09-04 13;1079.17;1418.38
2020-09-04 14;1032.87;1418.38
2020-09-04 15;944.56;1418.38
2020-09-04 16;788.05;1418.38
2020-09-04 17;484.17;1418.38
2020-09-04 18;95.70;1418.38
2020-09-04 19;0.13;1418.38
2020-09-04 20;0.17;1418.38
2020-09-04 21;0.36;1418.38
2020-09-04 22;0.25;1418.38
2020-09-04 23;0.22;1418.38
2020-09-05 00;0.24;1418.38
2020-09-05 01;0.34;1418.38
2020-09-05 02;0.37;1418.38
2020-09-05 03;0.23;1418.38
2020-09-05 04;0.36;1418.38
2020-09-05 05;0.35;1418.38
2020-09-05 06;37.42;1418.38
2020-09-05 07;378.02;1418.38
2020-09-05 08;737.44;1418.38
2020-09-05 09;911.09;1418.38
2020-09-05 10;1009.27;1418.38
2020-09-05 11;1053.67;1418.38
2020-09-05 12;1069.00;1418.38
2020-09-05 13;1059.11;1418.38
2020-09-05 14;1017.88;1418.38
2020-09-05 15;928.47;1418.38
2020-09-05 16;769.12;1418.38
2020-09-05 17;460.65;1418.38
2020-09-05 18;84.31;1418.38
2020-09-05 19;0.46;1418.38
2020-09-05 20;0.14;1418.38
2020-09-05 21;0.26;1418.38
2020-09-05 22;0.31;1418.38
2020-09-05 23;0.29;1418.38
2020-09-06 00;0.41;1418.38
2020-09-06 01;0.36;1418.38
2020-09-06 02;0.24;1418.38
2020-09-06 03;0.18;1418.38
2020-09-06 04;0.41;1418.38
2020-09-06 05;0.41;1418.38
2020-09-06 06;32.27;1418.38
2020-09-06 07;365.12;1418.38
2020-09-06 08;722.81;1418.38
2020-09-06 09;898.51;1418.38
2020-09-06 10;990.59;1418.38
2020-09-06 11;1047.16;1418.38
2020-09-06 12;1056.32;1418.38
2020-09-06 13;1049.22;1418.38
2020-09-06 14;1005.62;1418.38
2020-09-06 15;917.82;1418.38
2020-09-06 16;753.16;1418.38
2020-09-06 17;441.61;1418.38
2020-09-06 18;74.27;1418.38
2020-09-06 19;0.23;1418.38
2020-09-06 20;0.12;1418.38
2020-09-06 21;0.27;1418.38
2020-09-06 22;0.32;1418.38
2020-09-06 23;0.33;1418.38
2020-09-07 00;0.37;1418.38
2020-09-07 01;0.37;1418.38
2020-09-07 02;0.27;1418.38
2020-09-07 03;0.21;1418.38
2020-09-07 04;0.38;1418.38
2020-09-07 05;0.41;1418.38
2020-09-07 06;30.69;1418.38
2020-09-07 07;349.61;1418.38
2020-09-07 08;706.96;1418.38
2020-09-07 09;891.46;1418.38
2020-09-07 10;983.71;1418.38
2020-09-07 11;1026.60;1418.38
2020-09-07 12;994.75;1418.38
2020-09-07 13;1049.25;1418.38
2020-09-07 14;1006.84;1418.38
2020-09-07 15;911.95;1418.38
2020-09-07 16;755.48;1418.38
2020-09-07 17;448.21;1418.38
2020-09-07 18;84.00;1418.38
2020-09-07 19;7.27;1418.38
2020-09-07 20;7.16;1418.38
2020-09-07 21;7.23;1418.38
2020-09-07 22;7.20;1418.38
2020-09-07 23;7.05;1418.38
2020-09-08 00;7.06;1418.38
2020-09-08 01;7.06;1418.38
2020-09-08 02;7.05;1418.38
2020-09-08 03;7.00;1418.38
2020-09-08 04;7.02;1418.38
2020-09-08 05;6.98;1418.38
2020-09-08 06;38.77;1418.38
2020-09-08 07;379.32;1418.38
2020-09-08 08;747.18;1418.38
2020-09-08 09;926.78;1418.38
2020-09-08 10;1026.84;1418.38
2020-09-08 11;1075.67;1418.38
2020-09-08 12;1087.60;1418.38
2020-09-08 13;1076.82;1418.38
2020-09-08 14;1030.71;1418.38
2020-09-08 15;911.16;1418.38
2020-09-08 16;780.73;1418.38
2020-09-08 17;449.90;1418.38
2020-09-08 18;69.89;1418.38
2020-09-08 19;7.51;1418.38
2020-09-08 20;7.26;1418.38
2020-09-08 21;7.18;1418.38
2020-09-08 22;7.15;1418.38
2020-09-08 23;7.21;1418.38
2020-09-09 00;7.19;1418.38
2020-09-09 01;7.03;1418.38
2020-09-09 02;7.12;1418.38
2020-09-09 03;7.09;1418.38
2020-09-09 04;7.15;1418.38
2020-09-09 05;7.08;1418.38
2020-09-09 06;27.14;1418.38
2020-09-09 07;330.18;1418.38
2020-09-09 08;686.20;1418.38
2020-09-09 09;866.23;1418.38
2020-09-09 10;928.55;1418.38
2020-09-09 11;974.18;1418.38
2020-09-09 12;972.21;1418.38
2020-09-09 13;997.07;1418.38
2020-09-09 14;960.15;1418.38
2020-09-09 15;854.57;1418.38
2020-09-09 16;659.90;1418.38
2020-09-09 17;396.65;1418.38
2020-09-09 18;58.65;1418.38
2020-09-09 19;0.39;1418.38
2020-09-09 20;0.08;1418.38
2020-09-09 21;0.37;1418.38
2020-09-09 22;0.41;1418.38
2020-09-09 23;0.35;1418.38
2020-09-10 00;0.45;1418.38
2020-09-10 01;0.46;1418.38
2020-09-10 02;0.36;1418.38
2020-09-10 03;0.42;1418.38
2020-09-10 04;0.45;1418.38
2020-09-10 05;0.46;1418.38
2020-09-10 06;26.47;1418.38
2020-09-10 07;331.78;1418.38
2020-09-10 08;685.50;1418.38
2020-09-10 09;913.37;1418.38
2020-09-10 10;1027.45;1418.38
2020-09-10 11;1076.05;1418.38
2020-09-10 12;1079.90;1418.38
2020-09-10 13;1000.59;1418.38
2020-09-10 14;996.33;1418.38
2020-09-10 15;893.23;1418.38
2020-09-10 16;747.49;1418.38
2020-09-10 17;413.11;1418.38
2020-09-10 18;53.54;1418.38
2020-09-10 19;0.26;1418.38
2020-09-10 20;0.19;1418.38
2020-09-10 21;0.18;1418.38
2020-09-10 22;0.19;1418.38
2020-09-10 23;0.19;1418.38
2020-09-11 00;0.20;1418.38
2020-09-11 01;0.19;1418.38
2020-09-11 02;0.13;1418.38
2020-09-11 03;0.18;1418.38
2020-09-11 04;0.19;1418.38
2020-09-11 05;0.20;1418.38
2020-09-11 06;34.59;1418.38
2020-09-11 07;300.38;1418.38
2020-09-11 08;591.36;1418.38
2020-09-11 09;797.01;1418.38
2020-09-11 10;980.89;1418.38
2020-09-11 11;972.82;1418.38
2020-09-11 12;1032.59;1418.38
2020-09-11 13;1015.96;1418.38
2020-09-11 14;828.94;1418.38
2020-09-11 15;712.45;1418.38
2020-09-11 16;562.16;1418.38
2020-09-11 17;349.25;1418.38
