Timestamp;Measured energy production (MWh);Installed power (MW);Hours of storage
2020-09-01 01;164.62;249.5;37.5
2020-09-01 02;138.56;249.5;37.5
2020-09-01 03;47.75;249.5;37.5
2020-09-01 04;19.44;249.5;37.5
2020-09-01 05;0;249.5;37.5
2020-09-01 06;0;249.5;37.5
2020-09-01 07;22.32;249.5;37.5
2020-09-01 08;68.56;249.5;37.5
2020-09-01 09;31.67;249.5;37.5
2020-09-01 10;21.63;249.5;37.5
2020-09-01 11;5.21;249.5;37.5
2020-09-01 12;0;249.5;37.5
2020-09-01 13;48.23;249.5;37.5
2020-09-01 14;51.15;249.5;37.5
2020-09-01 15;47.21;249.5;37.5
2020-09-01 16;67.79;249.5;37.5
2020-09-01 17;31.08;249.5;37.5
2020-09-01 18;0;249.5;37.5
2020-09-01 19;0;249.5;37.5
2020-09-01 20;0;249.5;37.5
2020-09-01 21;0;249.5;37.5
2020-09-01 22;0;249.5;37.5
2020-09-01 23;0;249.5;37.5
2020-09-02 00;0;249.5;37.5
2020-09-02 01;0;249.5;37.5
2020-09-02 02;0;249.5;37.5
2020-09-02 03;0;249.5;37.5
2020-09-02 04;0;249.5;37.5
2020-09-02 05;0;249.5;37.5
2020-09-02 06;0;249.5;37.5
2020-09-02 07;0;249.5;37.5
2020-09-02 08;70.99;249.5;37.5
2020-09-02 09;216.3;249.5;37.5
2020-09-02 10;230.02;249.5;37.5
2020-09-02 11;210.73;249.5;37.5
2020-09-02 12;201.23;249.5;37.5
2020-09-02 13;178.84;249.5;37.5
2020-09-02 14;215.75;249.5;37.5
2020-09-02 15;228.89;249.5;37.5
2020-09-02 16;228.12;249.5;37.5
2020-09-02 17;212.06;249.5;37.5
2020-09-02 18;159.09;249.5;37.5
2020-09-02 19;152.63;249.5;37.5
2020-09-02 20;151.03;249.5;37.5
2020-09-02 21;149.95;249.5;37.5
2020-09-02 22;149.74;249.5;37.5
2020-09-02 23;149.64;249.5;37.5
2020-09-03 00;96.41;249.5;37.5
2020-09-03 01;52.35;249.5;37.5
2020-09-03 02;41.34;249.5;37.5
2020-09-03 03;27.24;249.5;37.5
2020-09-03 04;26.23;249.5;37.5
2020-09-03 05;20.66;249.5;37.5
2020-09-03 06;16.58;249.5;37.5
2020-09-03 07;34.2;249.5;37.5
2020-09-03 08;159.28;249.5;37.5
2020-09-03 09;226.96;249.5;37.5
2020-09-03 10;227.89;249.5;37.5
2020-09-03 11;227.53;249.5;37.5
2020-09-03 12;228.3;249.5;37.5
2020-09-03 13;230.54;249.5;37.5
2020-09-03 14;229.74;249.5;37.5
2020-09-03 15;228.83;249.5;37.5
2020-09-03 16;227.1;249.5;37.5
2020-09-03 17;217.35;249.5;37.5
2020-09-03 18;165.19;249.5;37.5
2020-09-03 19;124.14;249.5;37.5
