Timestamp;Measured energy production (MWh);Installed power (MW)
2020-09-01 00;101.21;6150.48
2020-09-01 01;100.07;6150.48
2020-09-01 02;102.63;6150.48
2020-09-01 03;105.22;6150.48
2020-09-01 04;97.69;6150.48
2020-09-01 05;85.42;6150.48
2020-09-01 06;80.24;6150.48
2020-09-01 07;60.69;6150.48
2020-09-01 08;43.42;6150.48
2020-09-01 09;25.93;6150.48
2020-09-01 10;15.82;6150.48
2020-09-01 11;11.77;6150.48
2020-09-01 12;6.33;6150.48
2020-09-01 13;33.08;6150.48
2020-09-01 14;72.91;6150.48
2020-09-01 15;162.45;6150.48
2020-09-01 16;260.84;6150.48
2020-09-01 17;374.95;6150.48
2020-09-01 18;570.88;6150.48
2020-09-01 19;938.37;6150.48
2020-09-01 20;1533.81;6150.48
2020-09-01 21;2022.75;6150.48
2020-09-01 22;2380.99;6097.57
2020-09-01 23;2576.32;6097.59
2020-09-02 00;2680.65;6097.58
2020-09-02 01;2707.85;6097.58
2020-09-02 02;2568.69;6097.59
2020-09-02 03;2494.16;6097.59
2020-09-02 04;2264.5;6097.59
2020-09-02 05;2205.41;6097.59
2020-09-02 06;2151.78;6097.59
2020-09-02 07;1948.02;6097.6
2020-09-02 08;1807.48;6097.58
2020-09-02 09;1682.77;6097.58
2020-09-02 10;1327.64;6097.59
2020-09-02 11;1272.8;6097.59
2020-09-02 12;1007.2;6097.59
2020-09-02 13;561.89;6097.59
2020-09-02 14;323.33;6097.58
2020-09-02 15;235.95;6097.59
2020-09-02 16;207.17;6097.59
2020-09-02 17;237.01;6097.6
2020-09-02 18;296.4;6097.59
2020-09-02 19;361.87;6097.59
2020-09-02 20;478.51;6097.59
2020-09-02 21;633.99;6097.59
2020-09-02 22;883.36;6097.59
2020-09-02 23;970.84;6097.59
2020-09-03 00;984.86;6097.58
2020-09-03 01;925.2;6097.58
2020-09-03 02;785.85;6097.61
2020-09-03 03;661.93;6097.6
2020-09-03 04;514.33;6097.6
2020-09-03 05;364.55;6097.59
2020-09-03 06;252.53;6097.59
2020-09-03 07;151.51;6097.59
2020-09-03 08;89.64;6097.57
2020-09-03 09;88.56;6097.57
2020-09-03 10;73.93;6097.59
2020-09-03 11;51.33;6097.59
2020-09-03 12;32.59;6097.57
2020-09-03 13;12.39;6110.89
2020-09-03 14;6.7;6110.88
2020-09-03 15;9.17;6110.89
2020-09-03 16;20.6;6110.88
2020-09-03 17;38.84;6110.87
2020-09-03 18;44.25;6110.88
2020-09-03 19;52.68;6110.91
2020-09-03 20;82.75;6110.89
2020-09-03 21;169.15;6110.88
2020-09-03 22;283.72;6110.9
2020-09-03 23;332.66;6110.9
2020-09-04 00;429.42;6110.89
2020-09-04 01;561.34;6110.88
2020-09-04 02;610.35;6110.9
2020-09-04 03;618.59;6110.89
2020-09-04 04;573.79;6110.9
2020-09-04 05;470.65;6110.87
2020-09-04 06;418.12;6110.9
2020-09-04 07;512.7;6110.89
2020-09-04 08;584.89;6110.87
2020-09-04 09;534.19;6110.89
2020-09-04 10;351.23;6110.88
2020-09-04 11;216.22;6110.9
2020-09-04 12;207.7;6110.88
2020-09-04 13;174.91;6110.89
2020-09-04 14;161.58;6110.87
2020-09-04 15;211.55;6110.89
2020-09-04 16;244.55;6110.88
2020-09-04 17;250.6;6110.88
2020-09-04 18;226.72;6110.88
2020-09-04 19;229.75;6163.77
2020-09-04 20;269.84;6163.77
2020-09-04 21;412.93;6163.77
2020-09-04 22;610.56;6163.77
2020-09-04 23;745.87;6163.77
2020-09-05 00;994.39;6163.77
2020-09-05 01;1101.22;6163.77
2020-09-05 02;1032.28;6163.77
2020-09-05 03;1018.6;6163.77
2020-09-05 04;959.88;6163.77
2020-09-05 05;1081.21;6163.77
2020-09-05 06;1234.34;6163.77
2020-09-05 07;1396.33;6163.77
2020-09-05 08;1550.91;6163.77
2020-09-05 09;1583.41;6163.77
2020-09-05 10;1440.45;6163.77
2020-09-05 11;1408.97;6163.77
